Gene ID	HMMER	Hotpep	DIAMOND	#ofTools	genome_name
c_000000000024_47	-	GH38(8)	-	1	d22_5505_S225
c_000000000035_46	-	CBM5(48)	-	1	d22_5505_S225
c_000000000038_34	-	CBM5(68)	-	1	d22_5505_S225
c_000000000032_55	-	CBM5(68)	-	1	d22_5505_S225
c_000000000039_5	-	CBM50(77)	-	1	d22_5505_S225
c_000000000001_55	-	-	GT2	1	d22_5505_S225
c_000000000001_112	-	-	GH28	1	d22_5505_S225
c_000000000001_117	-	-	GH13	1	d22_5505_S225
c_000000000001_170	-	-	GT4	1	d22_5505_S225
c_000000000001_175	-	-	GT83	1	d22_5505_S225
c_000000000001_204	-	-	GT47	1	d22_5505_S225
c_000000000001_222	-	-	GH1	1	d22_5505_S225
c_000000000004_9	-	-	GH23	1	d22_5505_S225
c_000000000004_28	-	-	GH23	1	d22_5505_S225
c_000000000005_81	-	-	GH23	1	d22_5505_S225
c_000000000006_18	-	-	CBM50	1	d22_5505_S225
c_000000000006_20	-	-	GH73	1	d22_5505_S225
c_000000000007_54	-	-	GH23	1	d22_5505_S225
c_000000000007_72	-	-	GH3	1	d22_5505_S225
c_000000000007_108	-	-	GT2	1	d22_5505_S225
c_000000000007_109	-	-	GT2	1	d22_5505_S225
c_000000000009_46	-	-	GT1	1	d22_5505_S225
c_000000000009_76	-	-	CBM50	1	d22_5505_S225
c_000000000011_53	-	-	GT2	1	d22_5505_S225
c_000000000011_88	-	-	GH13_30	1	d22_5505_S225
c_000000000012_17	-	-	GH23	1	d22_5505_S225
c_000000000014_95	-	-	GH13	1	d22_5505_S225
c_000000000015_93	-	-	CBM50+GH25	1	d22_5505_S225
c_000000000018_23	-	-	CBM50	1	d22_5505_S225
c_000000000018_77	-	-	GH1	1	d22_5505_S225
c_000000000019_20	-	-	CBM48+GH13_9	1	d22_5505_S225
c_000000000021_13	-	-	GH130	1	d22_5505_S225
c_000000000021_73	-	-	GH152	1	d22_5505_S225
c_000000000021_80	-	-	CE0	1	d22_5505_S225
c_000000000022_20	-	-	CBM50	1	d22_5505_S225
c_000000000022_27	-	-	GT2	1	d22_5505_S225
c_000000000023_31	-	-	GH4	1	d22_5505_S225
c_000000000023_37	-	-	GH84	1	d22_5505_S225
c_000000000024_67	-	-	GH5_11	1	d22_5505_S225
c_000000000027_54	-	-	GT2	1	d22_5505_S225
c_000000000027_63	-	-	GH13_29	1	d22_5505_S225
c_000000000029_52	-	-	GH13_31	1	d22_5505_S225
c_000000000030_22	-	-	CBM50	1	d22_5505_S225
c_000000000032_19	-	-	CBM0	1	d22_5505_S225
c_000000000033_23	-	-	GT58	1	d22_5505_S225
c_000000000033_46	-	-	GH13_11	1	d22_5505_S225
c_000000000034_9	-	-	GH23	1	d22_5505_S225
c_000000000037_14	-	-	GH25	1	d22_5505_S225
c_000000000037_18	-	-	GT2	1	d22_5505_S225
c_000000000038_10	-	-	GH170	1	d22_5505_S225
c_000000000038_15	-	-	GH1	1	d22_5505_S225
c_000000000040_11	-	-	GH13_23	1	d22_5505_S225
c_000000000040_13	-	-	GH13_31	1	d22_5505_S225
c_000000000042_6	-	-	GH13	1	d22_5505_S225
c_000000000042_9	-	-	GH28	1	d22_5505_S225
c_000000000051_29	-	-	GT4	1	d22_5505_S225
c_000000000061_16	-	-	GT30	1	d22_5505_S225
c_000000000081_2	-	-	GH38	1	d22_5505_S225
c_000000000001_216	CE10(422-661)	-	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000001_241	GH1(1-470)	GH1(2)	GH1	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000001_274	GH112(6-717)	GH112(1)	GH112	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000001_509	GH1(4-459)	GH1(19)	GH1	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000001_51	CE9(5-375)	CE9(43)	CE9	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_119	GH1(6-474)	GH1(11)	GH1	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_143	GH13_29(25-368)	GH13(3)	GH13_29	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_150	CE4(44-150)	CE4(84)	CE4	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_185	GH31(221-600)	GH31(4)	GH31	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_208	GH1(3-265)	GH1(11)	-	2	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_209	GH1(4-201)	-	GH1	2	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_230	GH73(264-378)	GH73(56)	GH73	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_333	CE9(6-365)	-	CE9	2	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_338	GT51(47-220)	GT51(13)	GT51	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_350	GH43_24(1-125)	GH43(91)	GH43_24	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_370	GH4(6-183)	GH4(2)	GH4	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_419	GT4(3-96)	-	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_67	GH38(5-269)	-	GH38	2	GCA_000165065_1_ASM16506v1_genomic
c_000000000003_395	GT51(73-270)	GT51(5)	GT51	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000003_396	GT51(483-677)	GT51(5)	GT51	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000004_110	CE9(7-370)	CE9(4)	CE9	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000004_266	CE4(91-224)	-	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000004_67	GH112(6-720)	GH112(1)	GH112	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000004_96	CE4(225-342)	CE4(67)	CE4	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000004_97	CE4(2-124)	CE4(67)	CE4	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000006_168	GT28(2-152)	-	GT28	2	GCA_000165065_1_ASM16506v1_genomic
c_000000000006_23	CE1(13-249)	-	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000006_49	GH109(2-113)	-	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000006_6	GT51(45-214)	GT51(58)	GT51	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000007_155	GH13_20(33-323)	GH13(61)	GH13	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000007_166	GH77(9-469)	GH77(8)	GH77	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000007_167	GT35(81-751)	GT35(1)	GT35	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000007_24	GH4(7-187)	GH4(1)	GH4	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000007_41	GH73(295-410)	-	GH73	2	GCA_000165065_1_ASM16506v1_genomic
c_000000000008_2	CE10(397-630)	-	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000008_85	GT5(3-475)	GT5(26)	GT5	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000009_141	GH1(2-476)	GH1(5)	GH1	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000009_20	GH4(6-155)	GH4(1)	-	2	GCA_000165065_1_ASM16506v1_genomic
c_000000000010_115	GH109(4-115)	-	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000010_67	CBM66(239-391)	-	CBM66+GH32	2	GCA_000165065_1_ASM16506v1_genomic
c_000000000010_68	GH32(42-350)+CBM66(612-773)	GH32(3)+CBM38(1)+CBM66(1)	CBM66+GH32	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000010_69	CBM66(381-546)+CBM66(569-634)	-	CBM66+GH32	2	GCA_000165065_1_ASM16506v1_genomic
c_000000000010_70	CBM66(2-92)+GH32(220-530)+CBM66(790-946)	GH32(10)+CBM38(1)+CBM66(2)	CBM66+GH32	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000011_103	GH1(1-402)	GH1(66)	GH1	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000011_105	GH1(5-485)	GH1(45)	GH1	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000011_70	GH1(2-474)	GH1(1)	GH1	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000011_86	GH109(52-167)	-	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000012_127	CBM66(231-380)+GH32(511-814)+CBM66(1071-1232)	GH32(24)+CBM38(1)+CBM66(1)	CBM66+GH32	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000012_136	GH1(5-481)	GH1(27)	GH1	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000013_117	GH1(7-480)	GH1(2)	GH1	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000014_100	GT2_Glycos_transf_2(7-153)	-	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000014_103	GT26(56-229)	-	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000014_95	GT2_Glycos_transf_2(6-112)	-	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000015_101	GH25(113-303)	GH25(33)	GH25	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000015_25	GH13_14(259-573)	GH13(10)+CBM25(3)+CBM41(5)+CBM48(16)+CBM68(1)	CBM68+GH13_14	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000015_27	GT35(96-799)	GT35(1)	GT35	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000015_44	GT2_Glycos_transf_2(4-142)	GT2(18)	GT2	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000015_51	GT2_Glycos_transf_2(8-173)	GT2(83)+GT8(43)	GT2	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000015_54	GT2_Glycos_transf_2(8-162)	GT2(65)	GT2	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000015_63	CBM48(21-104)+GH13_9(172-459)	GH13(20)+CBM48(6)	CBM48+GH13_9	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000016_13	GH25(6-181)	GH25(88)	GH25	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000016_35	GT4(208-355)	GT4(55)	GT4	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000016_37	GT4(164-312)	GT4(42)	GT4	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000016_61	CE4(237-364)	-	CE4	2	GCA_000165065_1_ASM16506v1_genomic
c_000000000016_87	CE4(134-250)	CE4(93)	CE4	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000017_12	GT4(215-358)	-	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000017_13	GT2_Glycos_transf_2(384-506)	-	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000017_7	GT4(212-341)	GT4(191)	GT4	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000018_50	GH1(2-469)	GH1(62)	GH1	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000018_52	GH1(6-478)	GH1(11)	GH1	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000018_54	GH109(5-119)	-	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000019_28	GH1(4-470)	GH1(11)	GH1	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000022_27	GH38(3-254)	GH38(10)	GH38	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000022_29	GH1(3-454)	GH1(6)	GH1	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000023_2	GT14(3-237)	-	GT14	2	GCA_000165065_1_ASM16506v1_genomic
c_000000000025_4	CE10(25-240)	-	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000030_9	GT2_Glycos_transf_2(5-123)	GT2(193)	GT2	3	GCA_000165065_1_ASM16506v1_genomic
c_000000000005_42	-	GH0(66)	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000003_45	-	GH23(34)	GH23	2	GCA_000165065_1_ASM16506v1_genomic
c_000000000025_32	-	GH23(34)	GH23	2	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_336	-	GH23(192)	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000009_29	-	GH38(8)	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_351	-	GH43(91)	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000017_10	-	GT0(93)	GT0	2	GCA_000165065_1_ASM16506v1_genomic
c_000000000017_38	-	GT0(93)	GT0	2	GCA_000165065_1_ASM16506v1_genomic
c_000000000015_52	-	GT2(115)+GT4(135)	GT2	2	GCA_000165065_1_ASM16506v1_genomic
c_000000000006_169	-	GT28(25)	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000010_25	-	CBM5(68)	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000005_96	-	CBM50(77)	-	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000001_9	-	-	CBM50	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000001_25	-	-	GT2	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000001_165	-	-	GH23	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_90	-	-	GH13_31	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_92	-	-	GH13_23	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_129	-	-	GT2	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_144	-	-	GH13_29	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_277	-	-	GH13_11	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_303	-	-	GT58	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_364	-	-	GH84	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_373	-	-	GH23	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000002_389	-	-	GH3	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000003_63	-	-	GH13_30	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000003_94	-	-	GT2	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000003_165	-	-	GH1	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000003_246	-	-	GT83	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000003_253	-	-	GT4	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000003_313	-	-	GH13	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000003_320	-	-	CBM0	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000003_321	-	-	GH28	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000003_379	-	-	GT2	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000004_81	-	-	GH73	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000004_83	-	-	CBM50	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000004_120	-	-	GT30	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000004_204	-	-	CBM50+GH25	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000004_303	-	-	GH130	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000005_175	-	-	GH23	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000006_224	-	-	GH5_11	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000007_3	-	-	GT1	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000007_34	-	-	CBM50	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000007_116	-	-	GH152	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000008_13	-	-	CBM50	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000008_87	-	-	CBM48+GH13_9	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000009_106	-	-	GH28	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000010_59	-	-	GH1	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000010_64	-	-	GH170	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000011_6	-	-	GH38	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000012_30	-	-	GH13_31	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000014_47	-	-	GT4	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000014_107	-	-	GT2	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000015_50	-	-	GT2	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000015_53	-	-	GT2	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000015_58	-	-	GH25	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000017_22	-	-	GT2	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000017_41	-	-	GT4	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000018_25	-	-	GH13	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000028_13	-	-	GH1	1	GCA_000165065_1_ASM16506v1_genomic
c_000000000001_12	GH1(7-480)	GH1(2)	GH1	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000002_12	GH13_14(259-573)	GH13(10)+CBM25(3)+CBM41(5)+CBM48(16)+CBM68(1)	CBM48+GH13_14	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000002_14	GT35(96-799)	GT35(1)	GT35	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000002_16	GT2_Glycos_transf_2(4-145)	GT2(18)	GT2	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000002_22	GT2_Glycos_transf_2(36-202)	GT2(83)+GT4(135)+GT8(43)	GT2	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000002_23	GT2_Glycos_transf_2(8-168)	GT2(115)+GT4(135)	GT2	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000002_30	CBM48(21-104)+GH13_9(172-459)	GH13(20)+CBM48(6)	CBM48+GH13_9	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000002_78	GH25(113-303)	GH25(33)	GH25	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000003_10	GH1(5-486)	GH1(1)	GH1	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000003_106	GT51(263-457)	-	GT51	2	GCA_000183585_2_ASM18358v1_genomic
c_000000000003_108	GT51(73-270)	-	GT51	2	GCA_000183585_2_ASM18358v1_genomic
c_000000000005_107	GH38(5-277)	-	GH38	2	GCA_000183585_2_ASM18358v1_genomic
c_000000000005_166	GH1(6-477)	GH1(11)	GH1	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000005_18	GH1(4-470)	GH1(1)	GH1	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000005_186	GH13_29(25-368)	GH13(3)	GH13_29	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000005_192	CE4(44-150)	CE4(84)	CE4	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000007_17	GT2_Glycos_transf_2(6-160)	-	GT2	2	GCA_000183585_2_ASM18358v1_genomic
c_000000000007_18	GT2_Glycos_transf_2(7-111)	-	GT2	2	GCA_000183585_2_ASM18358v1_genomic
c_000000000007_19	GT4(206-350)	-	GT4	2	GCA_000183585_2_ASM18358v1_genomic
c_000000000007_21	GT2_Glycos_transf_2(11-169)	-	GT2	2	GCA_000183585_2_ASM18358v1_genomic
c_000000000007_22	GT4(207-346)	GT4(191)	GT4	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000007_5	GT2_Glycos_transf_2(5-127)	-	GT2	2	GCA_000183585_2_ASM18358v1_genomic
c_000000000008_17	GH1(6-257)	GH1(48)	-	2	GCA_000183585_2_ASM18358v1_genomic
c_000000000008_232	GH1(7-473)	GH1(11)	GH1	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000008_233	GH1(5-480)	GH1(11)	GH1	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000008_26	GH1(10-478)	GH1(11)	GH1	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000008_32	CE10(30-243)	-	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000008_66	GT14(3-255)	-	GT0	2	GCA_000183585_2_ASM18358v1_genomic
c_000000000009_46	GT5(3-475)	GT5(26)	GT5	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000012_16	GT2_Glycos_transf_2(5-150)	GT2(193)	GT2	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000014_2	GH25(105-175)	GH25(49)	GH25	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000015_107	GH4(4-181)	GH4(14)	GH4	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000015_11	GH13_20(34-324)	GH13(61)	GH13	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000015_110	CE9(7-369)	CE9(63)	CE9	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000015_122	CE4(240-369)	CE4(67)	CE4	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000015_123	CE4(241-356)	CE4(67)	CE4	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000015_162	GH112(6-720)	GH112(1)	GH112	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000018_193	GH73(287-401)	GH73(56)	GH73	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000018_215	GH1(3-471)	-	GH1	2	GCA_000183585_2_ASM18358v1_genomic
c_000000000018_251	GH1(2-486)	GH1(1)	GH1	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000018_253	GH1(2-391)	-	GH1	2	GCA_000183585_2_ASM18358v1_genomic
c_000000000018_68	GH1(3-456)	GH1(6)	GH1	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000018_70	GH38(3-254)	GH38(10)	GH38	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000024_14	CE4(235-362)	-	CE4	2	GCA_000183585_2_ASM18358v1_genomic
c_000000000024_21	GT4(164-312)	GT4(42)	GT4	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000024_23	GT4(207-353)	GT4(55)	GT4	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000024_42	GH25(6-181)	GH25(88)	GH25	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000024_71	CE4(241-375)	-	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000025_13	GH1(2-470)	GH1(1)	GH1	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000033_2	CE4(243-358)	CE4(93)	CE4	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000033_5	CE1(83-248)	-	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000038_11	GT51(50-221)	GT51(13)	GT51	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000038_7	CE9(6-365)	-	CE9	2	GCA_000183585_2_ASM18358v1_genomic
c_000000000042_128	GH4(6-183)	GH4(2)	GH4	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000042_152	GH43_24(22-267)	GH43(91)	GH43_24	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000042_46	GH109(5-119)	-	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000042_54	GH1(6-478)	GH1(11)	GH1	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000042_56	GH1(1-476)	GH1(57)	GH1	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000049_46	GH1(11-480)	GH1(27)	GH1	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000049_65	GH1(3-423)	GH1(19)	GH1	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000050_2	CE10(422-660)	-	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000050_44	GH112(6-717)	GH112(1)	GH112	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000052_122	GH77(9-469)	GH77(5)	GH77	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000052_123	GT35(81-751)	GT35(1)	GT35	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000052_204	CE9(4-375)	CE9(43)	CE9	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000052_55	CE4(91-224)	-	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000053_42	GH1(3-466)	GH1(19)	GH1	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000053_50	CE10(378-630)	-	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000054_119	GH109(4-117)	-	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000054_142	CBM66(238-392)+GH32(525-832)+CBM66(1095-1257)	GH32(24)+CBM38(1)+CBM66(1)	CBM66+GH32	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000054_16	GH1(3-458)	GH1(20)	GH1	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000054_4	CE10(27-276)	-	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000054_5	CE10(43-269)	-	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000054_6	GH32(9-308)	GH32(38)+CBM38(7)	GH32	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000056_143	GT28(189-344)	GT28(25)	GT28	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000056_24	CE1(14-249)	-	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000056_6	GT51(45-213)	GT51(58)	GT51	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000057_114	CE6(54-145)	CE6(2)	CE0	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000057_172	GH4(7-187)	GH4(1)	GH4	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000057_186	GH73(288-404)	-	GH73	2	GCA_000183585_2_ASM18358v1_genomic
c_000000000059_22	GH1(1-352)	GH1(66)	GH1	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000059_51	GH109(2-114)	-	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000059_82	GH1(2-466)	GH1(1)	GH1	3	GCA_000183585_2_ASM18358v1_genomic
c_000000000008_105	-	GH0(66)	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000059_23	-	GH1(66)	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000028_13	-	GH23(34)	GH23	2	GCA_000183585_2_ASM18358v1_genomic
c_000000000038_10	-	GH23(192)	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000054_7	-	GH32(46)	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000057_40	-	GH38(8)	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000054_137	-	CBM5(48)	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000054_169	-	CBM5(68)	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000056_171	-	CBM5(68)	-	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000002_27	-	-	GH25	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000002_31	-	-	GT2	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000003_119	-	-	GT2	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000003_175	-	-	GH28	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000003_180	-	-	GH13	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000003_234	-	-	GT4	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000005_127	-	-	GH13_31	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000005_129	-	-	GH13_23	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000005_179	-	-	GT2	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000005_188	-	-	GH13_29	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000007_12	-	-	GT2	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000007_13	-	-	GT2	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000008_255	-	-	CBM50	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000008_281	-	-	GH13_31	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000009_48	-	-	CBM48+GH13_9	1	GCA_000183585_2_ASM18358v1_genomic
c_000000000011_15	-	-	GH3	1	GCA_000183585_2_ASM18358v1_genomic
